,tweet,label,label2
22,al sana suriyeli... :( sabah şirkete geldim. baktım jeneratörle çalışıyoruz. kesinti ya da arıza vardır dedim. ayedaş'ı aradık bölgede çalışma yok dediler. --- sürecek...,nefret,1
23,muhteşem bir miting düzenlemişsin ekremi̇mamoğlu baya baya fransızların öncülerinde bir miting olmuş. ülkemizin paraları nerede görüyoruz biz yerli araba üretsek bile yine batının ürettiklerinden vazgeçmeyiz. o kadar parayı fakir fukaraya ver hayır dua kazan suriyeli kere değil,nefret,1
24,siz onlara suriyeli diyorsunuz ama onlar aslında suriyesiz först leydi e.erdoğan,hiçbiri,0
25,bir suriyeli mahalledeki siyagi sayısı çoğaldı diye sitem etti. troll mu ciddi mi diye baktım ciddi bir de :d:ddd,nefret,1
26,olm kocasinanda kayboldum 3 kişiye yol sordum 3üde suriyeli aq ne dediğimi anlamıyolar anlasalar bilmiyorlar nereye düştüm ben allahım türk yok mu ya türk diye ağlıcam şimdi,nefret,1
27,peki sokakta gördüğüm yakışıklı çocuğun suriyeli cikmasi bu da sevdaya dahil mi kuzen,hiçbiri,0
28,1 suriyeli + 1 türk işe alacağına 1 türk + 1 türk işçi işe alın amk,nefret,1
29,kral selman yardım merkezi lübnan’daki suriyeli mültecilere yardım kartı dağıttı,hiçbiri,0
30,aaa kim bu suriyeli tanıyan varmı,hiçbiri,0
31,"suriyeli aile evini kaçak muayenehaneye, babasının evini ecza deposuna çevirmiş",nefret,1
32,"i̇stanbul, adana, bursa, hatay ve konya’da 1100 suriyeli ve 1100 türk işçi için teşvik sağlanacak. ayrıca, 1600 suriyeli işçinin çalışma izni ücretleri karşılanacak.",hiçbiri,0
33,herşey çok güzel oldu daha da güzel olacak ülkeyi ele alsınlar bakın ozaman!o aşağıladığınız suriyeli savaş mağdurları varya onlar bize sığında bizim gidecek hiç bir yerimiz yok hiçbir farkımız kalmayacak onlar gibi olacağız bu kadar vatan haini varken,hiçbiri,0
34,suriyeli hangisini,hiçbiri,0
35,biz bu ülkede ülkemizi sömüren kültür ananelerimizi yok eden ekonomimizi mahveden asalak suriyeli istemiyoruz,nefret,1
36,dayı suriyeli galiba çaktırmıyor,hiçbiri,0
37,"i̇dlib'deki rejim saldırıları, göç riskini artırıyormuş. dolu otobüs gibiyiz, suriyeli alacak yer kalmadı. arkalara doğru ilerleyemiyoruz...",hiçbiri,0
38,senin ülkenin cumhurbaşkanı’nın fotoğrafını ayaklar altına alıp yakıyorlar. sen de nefret ettiğin suriyeli 3-5 kişiyi destekliyorsun. sizin atatürk anlayışı ile de ilginiz yok. düşmanının bayrağını ya da liderinin fotoğrafını asla yaktırmazdı,hiçbiri,0
39,"akp trolleri i̇bbyeboykot uyguluyormuş, i̇stanbul’u terk etmeleri bekleniyor. not: giderken yanınıza birer suriyeli almayı unutmayın.",nefret,1
40,suriyeli ehliyetsiz sürücü polisin takibinden kaçamadı - samsun haberleri,nefret,1
41,"emekli olduğu halde çalışan 62 yaşında bir işçi, “2017’de doldurduğum bir market arabasının bugün çeyreğini doldurabiliyorum. geçinemiyorum” diyor. suriyeli işçiler ise ‘ucuz işgücü’ olarak görüldüklerini, ayrımcılığa maruz kaldıklarını anlatıyor.",hiçbiri,0
42,"ankara'da kendisini doktor olarak tanıtan suriyeli kadın, evini merdiven altı muayenehaneye, babasının evini ise ecza deposuna çevirdi. yabancılara olumsuz koşullarda sağlık hizmeti veren suriye uyruklu 3 kişi yakalandı. -sptnk-",nefret,1
43,"suriyeli'ler mutmain, bizler pejmürde olduk.",nefret,1
44,suriyeli sığınmacılar gitmeliler mi kalmalılar mı,hiçbiri,0
45,şuan suriyeli olsam doktora girmiş çıkmıştım.,nefret,1
46,bakan soylu : türkiye'de 450 bin suriyeli çocuk doğdu demi̇ş...,hiçbiri,0
47,türkiye’de suriyeli olmak,hiçbiri,0
48,"ankara’dayım, vakit geçirmek için kızılay’da bir internet cafeye geldim arkamda 3 tane suriyeli fortnite oynuyor ama iç savaş sesleri çıkarıyolar bu nası info vermek allahu ekber amk",nefret,1
49,1 suriyeli + 1 afgan alsak kaça bırakırsın fiş de almıycaz,nefret,1
50,tranvaydaki yolcuların % 80'ni suriyeli olan gaziantep.sanki halep'deyim.valla yüksek ses ile konuşma.saygısızlık.kendi ülkelerinde olsalar bu kadar rahat olamazlar.çok yazık ettiler bizlere.,nefret,1
51,"öncelikle güzel ülkem türkiye'me selamlar. ""camide suriyeli yok"" iddiası var  hatemi hocam. i̇ki satır karalarmı sınız?",nefret,1
52,şimde fark ettim de olduğum yer de hiç suriyeli yaşamıyor.,hiçbiri,0
53,"ne diyeceğim bilemiyorum suriyeli çalıştırana teşvik, türk çalışana yok! - batuhan çolak",hiçbiri,0
54,"tekstil sektöründen bir dostum; ""ucuza suriyeli çalıştırmadıkları için iş alamayan ve batma düzeyine gelen atölyeler, suriyelilerin kayıtlı oldukları kentlere gönderilmesiyle tekrar iş alıp, çalışmaya başladılar.""",hiçbiri,0
55,"ümmet için,millet için, birlik için, suriyeli apaçi kardeşlerimiz için i̇bbyeboykot",nefret,1
56,mardin-kızıltepe ilçesinde lider kadın derneği’nin yaptıkları etkinlikler sayesinde suriye’li kadınlar hayata tutunuyor. konuklarımız lider kadın derneği kurucusu ve proje müdürü leyla onur yanar ve suriyeli kursiyerler.,hiçbiri,0
57,"suriyeli kürtlerden güvenli bölge açıklaması: türk askerleri sınırdan çekilmeli ""türk askerleri sınırlardan çekilmezse, her zaman bir tehdit olarak değerlendirilecek"" [ahval news]",hiçbiri,0
58,“100 binden fazla suriyeli i̇stanbul’dan ayrılıyor” aracılığıyla,hiçbiri,0
59,mesleği sınıf öğretmenliği olan bir arkadaşım var her yıl en az 3-4 tane suriyeli çocuğa türkçe konuşmayı/okumayı/yazmayı öğretip onların eğitim sistemine entegre olmalarını sağlıyor. bakın bu ülke böyle insanlar omuzları üzerinde yükseliyor.,hiçbiri,0
60,"suriyeli promosyonu | suriyeli çalıştırana türk işsiz eşantiyon haberi, haberler, son dakika haberler aracılığıyla",nefret,1
61,türkiye'yi suriye batakligina sokarak askeriye'ye ve suriyeli göcmenlere yapilan milyarlik harcamalarla ekonominin batmasina ve yüzlerce asker ve sivil sehitler verilmesine sebep olan ahmet davutoglu ölünce cehennem'e mi gider yoksa dâr-ül harb kahramani olarak cennet'e mi gider?,hiçbiri,0
62,kusura bakmayın gardaş tüm kadroyu suriyeli canlarla değiştiriyorum,hiçbiri,0
63,arkadaşım suriyelileri çok eleştiriyorum diye bana kızıp bir suriyeli milli mücadele videosu gönderdi.. gerçekten çok duygulandım özürdilerim.. persembe,hiçbiri,0
64,günaydın .. gerçekten istemezdim bunu yapmayı özürdilerim ama i̇stanbul’a bu kadar çok suriyeli yerleştirdiği için ben de ibbyeboykot ediyorum !,nefret,1
65,"yakılan ormanlara ,i̇şkence edilen sokak hayvanlarına ,memleketimi dolduran suriyeli insanlara ,sabah kalktığımzda haberdar olduğumuz zamlara ,tahrip edilen tarihi miraslarımıza ,i̇nsanliktan çıkmış gibi bu olan biteni doğal karşılayışımıza ... birkezolsuntepkikoyun",nefret,1
66,perşembe bol suriyeli bir i̇stanbul sabahından günaydın.suriyeli orta kesimlerde hafif şiddetli kıyı kesimlerde yer yer görünüp kaybolma şeklinde hayatımızın içinde.,nefret,1
67,suriyeli haznevi tarikatı türkiye'de devasa külliye açıyor,hiçbiri,0
68,"suriyeli eylemciler tarafından tayyip erdoğan posteri yakılalı tam 4 gün oldu. ben muhalif birisi olmama rağmen cumhurbaşkanı’nın posterinin yakılmasına tepkiliyken, siz genel başkanınızın posterinin yakılmasına neden susuyorsunuz? bu mu sizin milli duruşunuz ey akp’liler?",hiçbiri,0
69,bu saati sevme nedenim bir tane bile suriyeli yok ne güzel,nefret,1
70,i̇dlib raporu: on binlerce suriyeli daha türkiye’ye gelebilir [ahval news],hiçbiri,0
71,özürdilerim suriyede ki türkmenlerin acısının sorumlusu suriyeli araplardır özür dilerim misak-ı milli,nefret,1
72,"arapça yazıyı araplar, hatta suriyeli mülteciler yazdı varsayımı yapmak, baya ilkel bir mantık. okuma yazmanız var, hayret. ve evet, düpedüz ırkçısın, mentionların da ırkçı. üşenmedim, hepsini tek tek şikayet ettim, teşhir de ediyorum. azalarak bitin.",hiçbiri,0
73,"kaçak-saray ve kaçak mi̇sak-i mi̇lli̇ olmaz kaçak-medyanın hilafına bilimsel, askeri görüşler, kısaca i̇dlib’ten gelen suriyeli cihatçıların sınırdaki türkiye karşıtı eylemlerinin sansürsüz görüntüleri,yeni çekiç güç hazırlıkları, komutandan iç savaş uyarısı.",hiçbiri,0
74,"füze nasıl atılır, suriyeli nasıl kapak edilir ekte  taklitler aslını yüceltir.",nefret,1
75,gecenin 3 ünde niye yoldan geçerken suriyeli gibi bağıra bağıra konuşuyorsun abi derdin ne,nefret,1
76,suriyeli haznevi tarikatı türkiye'de devasa külliye açıyor,hiçbiri,0
77,suriyeli,hiçbiri,0
78,saka saka suriyeli sanmislar halime acimislar o yüzden ikram etmisler,hiçbiri,0
79,i̇çişleri bakanlığı'ndan 'suriyeli' açıklaması: 35 bin kişi i̇stanbul'dan gönderildi,hiçbiri,0
80,sınır dışı edemiyor muyuz hepsini?suriyeli falan diye araya sıkıştıralım,nefret,1
81,koca avm de 2 kishi gördüm . son 30 yilin en büyük krizi gelmish 20000 abd dolari 30000 canada dolari ve 120 000 000 000 tl. sen hala halkin malini mulkunu sattirip savash naralari at 4 milyon suriyeli besle 2 trilyon dolar savasha yatir,nefret,1
82,"kuş uyudun mu?  kusu bir arkadaşım yorum yapmış bir yerde fıkra gibi ,yazayimda gül.. ""bahçeli'nin aldığı oy dan fazla suriyeli var memlekette,neyin milliyetçisi bu püskevit ""diyor kendisi... acayip güldüm..cuk oturmuş ama dimi...",hiçbiri,0
83,bafra’da ehliyetsiz araç kullanan suriyeli ceza yedi,nefret,1
84,benim mehmetçiğim arap topraklarında şehit olurken suriyeli vatan hainleri cafelerde nargile keyfi yapıp kadınlarla eğleniyor ! uyan türkiyem uyan !!!,nefret,1
85,pubgde beni vuran suriyeli siktirgit kendi ülkende aynı performansı göster lan birinciliği kaybettimmm çok sinirliyim,nefret,1
86,suriyeliler üzerinden planlanan provokasyonun büyüklüğünü net gösteren örnek youtube'da bir kanalaynı kişi önce suriyeli rolünde maaş alıyoruz başka bir röpörtajdaysa türkiye vatandaşı olarak asılsız yalanlar sıralıyor tutuklansın bu namussuzlar bu videolarla millet kışkırtılıyor,saldırgan,2
87,hdp'li gülüm: suriyeli çocuk sığınmacı muhammed reso'nun el nusra’ya teslim edildiği doğru mu?,hiçbiri,0
88,"aynen ben de, aynı şeyi yapıyorum. mesela dün dayım ve yengem 'afganlar, suriyeliler ülkeyi mahvetti. dün bir çocuğa suriyeli tecavüz etti. bunlar ülkeden def olmalı falan diyordu.'yemekteydik,sofrayı bıraktım, arkama bakmadan koşa koşa evlerinden kaçtım. yoksa fena patlayacaktım",nefret,1
89,"i̇stismara uğrayan kız çocukları istismar edenle evlenmeye zorlanıyor. bunu kabul etmeyen çocuklar intihara sürükleniyor.çocuk evliliği, ensest vakaları ciddi boyutlara ulaşmış.. evlendirilen çocukların çocuk doğurması bekleniyor.. i̇stismar edilen suriyeli çocuklar kuma veriliyor.",hiçbiri,0
90,ya bu suriyeli haramiler herşeyi çalar üçlübeşiktaşınüçünbirigsnin,nefret,1
91,"suriyeli ile eşit yaratıldığını düşünenler,çıkacak bir savaşta onlar gibi kaçacak olanlardır. hattâ bu yazıyı okuduklarında, “yok canım ne kaçması” diyecek olanlardır. “diyelim kaçmayacaksın, ama onlar kaçtı. nasıl eşitsiniz?”",nefret,1
92,türkiye'nin suriyelileri adanalılardır. kime sorsam ya adanalı ya da suriyeli,nefret,1
93,demek daha fazla suriyeli gelecek he devletimiz sınır kapılarını kapatmamış mıydı aq,saldırgan,2
94,davulcularin yeri̇ni̇ suri̇yeli̇ orkestracilar aldi,hiçbiri,0
95,aynı vahdettin'in kaçtığı bu sefer amerikan filosuna bindirip göndereceğiz. bu ülke sizin gibi din simsarlari yüzünden 4.5 milyon'dan fazla suriyeli ve min 3 milyon'dan fazla işsiz gence sahip.,hiçbiri,0
96,birkezolsuntepkikoyun i̇lk önce suriyeli sonra i̇se türk oluyor,hiçbiri,0
97,bu hayatta şansımız olsa zaten suriyeli dogardık,nefret,1
98,"suriyeli takıntım yok lakin , hani hep onlar bizimdir diyolarya , madem öyle o zaman onların silah tutan erlerini gönderelim suriye’ye savaşsınlar , dönerlerse bizimdir dönmezlerse zaten hiç bizim olmamışlardır ...",nefret,1
99,"suriye’liler için meydanlarda bağıra bağıra övüne övüne ‘suriyeli kardeşlerimiz için 35 milyar dolar aktardık, ama ab sözünde durmadı’ diye attığınız nutukları da unutmadım. tarihten, gerçekten kimse kaçamaz.",hiçbiri,0
100,"dün sıfır arabamla, konak, alsancak bir gezeyim dedim. her taraf suriyeli... i̇mam bir arkadaşa sordum, ""din kardeşleriniz camiiye geliyorlar mı?"" ""sen geliyor musun ki onlar gelsin"" deyip laf çakmaya kalktı. hoca bu durur mu: ""lan onlarla sen din kardeşisin, ben değilim ki..!",nefret,1
101,suriye de suriye li lerle savaşan ülkemizde suriyeli şerefsizleri besleyen tek manyak ülkeyiz suriyelileriistemiyoruz,nefret,1
102,"bu millet, 5 milyon suriyeli sürüsünün ülkeye doldurulmasının  davutoglu nun eseri olduğunu öğrendiğinde ",nefret,1
103,dün okulda bi çocuģa sürü gibi suriyeliler çullanmış tekme tokat dalmışlar bugün öģretmen demiş kim gördü olayı benimki atlamış ben gördüm yaz kim kim vardı demiş bu da teek tek yazmış suriyeli biri demiş beni yazarsan bitersin anne en üste onu yazdm diyo.,nefret,1
104,reis bize de burs vermen için illa suriyeli mi olalımmmmmmmmmm,hiçbiri,0
105,"tez çalışma konusu suriyeli mülteciler olan kişi/lere ulaşmam gerek... şunu elden ele dolaştırabilir miyiz, tşklr.",hiçbiri,0
106,bir köye suriyeli bir kadın gelir o köy ilk defa bır suriyeli insan görecekler. köyün erkekleri kahve önünde toplanır ve kadın gelir yaşlı iki evli insanı bakmak icin. köyün erkekleri ilk cümlesi dulmuş kadın.. önce kendi zihniyetimizi yargılamak gerek,hiçbiri,0
107,yok mu şöyle hadım edilecek bi suriyeli sinirim anca öyle geçer,nefret,1
108,"fakirlik :( ülkemin güzel insanları canlar can, sen bunları doyur bak ev ver kıyafet ver aş ver,,, suriyeli hayinlere bakacağına...",nefret,1
109,"suriyeli ""bazı"" araplar bayrağımızı yakmış nankörlük etmişler... medine müdafiisi atamız fahreddin paşa ve askerlerini aç bırakarak çekirge yemek zorunda bırakanlar, marslılar değildi herhalde... tarihten ibret almayan ibret olur...",nefret,1
110,sıkıntı yok 5 milyon suriyeli var boşamı besleniyor onlar?,nefret,1
111,yok tc kızları tc erkekleri bilmem ne.. hiçbir ülke istemio bizi suriyeli eş istemiyosanız kendi uyruğumuzun karşı cinsini kabullenmek zorundasınız anladnz mı,hiçbiri,0
112,bunlari bi̇li̇yor musunuz? türkiye'de yaklaşık 3 milyon 648 bin 750 suriyeli sığınmacı bulunmaktadır. 2011yılından itibaren türkiye'de 450 binin üzerinde suriyeli çocuk dünyaya gelmiştir. suriyeçalışmagrubu,hiçbiri,0
113,suriyeli istemiyoruz,nefret,1
114,"ülkemde suriyeli, hayatımda orospu çocuğu istemiyorum",nefret,1
115,"hdp ye , tecavüzcülere, vatana ihanet edenlere, suriyeli mültecilere, zamlara, işsizliğe, beyin göçüne ve daha sayamadıklarımıza birkezolsuntepkikoyun",nefret,1
116,suriyeli asik oldu bana,hiçbiri,0
117,"bu doktorları bu yeni açılan yazbee sitesine mi gönderelim ne yapalım. on tane türk'ün içinde arapça konuşan iki suriyeli gibiler aynı, bişey de anlamıyoruz.",hiçbiri,0
118,ülkeye bak arkadaş! ya zam geliyor ya suriyeli...,nefret,1
119,"liberal, suriyeli ve bdsm'ciyim bilseniz de olur",hiçbiri,0
120,suriyeli bi kıza aşık oldum evlenirsem düğün rakka da beklerim,hiçbiri,0
121,suriyeli sevgili yapıcam en azından gitmiyorlar amk,nefret,1
122,annem suriyeli bi çocuğa önce iki yumarta demeyi öğretti sonra markete almaya gönderdi sıfır şaka,hiçbiri,0
123,suriyeli bi talibim varsa açılabilir en azından gitmezsin mutlu mesut yaşarız,hiçbiri,0
124,bir tokatlıyorsun fetöcü bir tokat daha suriyeli bir tokat daha pizzacı bir tokat daha beyoğlu yosması bir tokat daha ultravesti bir tokat daha suçuk ekmekçi elemanlarda o kadar fazla lakap var ki hangi biriyle hitap edeceksin ..,nefret,1
125,"hayır, suriyeli değil bu çocuk işçi, müsterih olun!",hiçbiri,0
126,suriyeli değiliz,hiçbiri,0
127,"kıyametin kopması için daha ne lazım allah'ım !! •20 ayda bin 216 çocuk cinsel istismara maruz kaldı. •i̇stismarcısıyla evlenmeye zorlanan kız çocukları intihara sürükleniyor. •suriyeli çocuklar, istismarcıya para karşılığı ikinci eş olarak veriliyor.",hiçbiri,0
128,"suriyeli milletvekili shebabi: ”türkiye halkını düşman olarak görmediğimizin bilinmesini isterim. ancak erdoğan ve onun partisi akp, 8 yıldır ülkemizde terörizmi destekliyor’’",hiçbiri,0
129,biz türk toprağında türke yan gözle bakan bizi alt etmeye çalışan suriyeli görmek istemiyoruz onların burada kalmasına izin verenler ülkeye ihanet içerisinde olunmasına sebep oluyor suriyeliistemiyoruz uelkemdesuriyeliistemiyorum,nefret,1
130,mustafa cengiz : i̇lk suriyeli benim...,hiçbiri,0
131,on binlerce suriyeli gelebilir bugüne kadarki en büyük toplu göç dalgası!,hiçbiri,0
132,*aynaya bakılır* oha suriyeli gibiyim *sakallar kesilir* tebrikler iyi bok yediniz artık sekiz yaşındasınız *bir kaç hafta sonra tekrar edilir*,nefret,1
133,"plot olmayan twist, suriyeli mülteciyle iyi anlaştım ama arabasında son ses mevlit dinlediği ve çekirdek yiyip kabuklarını attığı için bff olamadık. lakin 33 erkeğin çalıştığı ortamda tek kadındım, işimi ciddiye alıyordum, kendileri mesai saatinde maç izleyip el çırpıyordu.",hiçbiri,0
134,güneyli amerikan aksanımı bayağı geliştirdim keşke bahçem olsaydı da pompalıyla suriyeli kovsaydım,nefret,1
135,şanlıurfa valiliğine suriyeli akını!,hiçbiri,0
136,abd sinirinda gocmenlerin hele de cocuklarin yasadiklari drami yurek kaldirmiyor. ama trde oturup cocuklarini abd vatandasi yapmis eve ‘suriyeli hizmetci’ diye aldiklari cocuklari hamile birakmis kisilerin abd sinirindaki cocuklara uzulebilecegine inanamiyorum.,hiçbiri,0
137,ülkeye bak anasını satıyım ya zam geliyo ya da suriyeli,nefret,1
138,"yüzbinlerce suriyeli ölmez, nüfusun dörtte biri ülke dışına çıkmaz, dörtte biri ise ülke içinde yer değiştirmek zorunda kalmazdı.",hiçbiri,0
139,asker uğurlama kutlamaları çok güzel ama silahlar patladığında korkunun boyutu farklılışaıyor belki kurusıkı ama keşke olmasa! suriyeli komşumun küçük oğlu korkudan kendini sokağa attı ve arabaların altına saklandı bu nasıl bir korku biz anlayamayız ama o küçücük çocuklar yaşadı!,hiçbiri,0
140,"lan oğlum fransız mısınız, suriyeli misiniz,,yoksa yunan mısınız.? malum onlar da bizim herşeyimizi sahipleniyor... üçlübeşiktaşınüçünbirigsnin",nefret,1
141,bu senenin sinekleride lambalarda bekleyen suriyeli gibi amacına ulaşmadan gitmiyorlar,nefret,1
142,eski türkiye= 3/4 su yeni türkiye= 3/4 suriyeli,nefret,1
143,"toplamı 40-50 kişi olan suriyeli gruplar kavga ediyor, bir motorda iki polis müdahaleye geliyor. mahalleli bıktık usandık şu binadakilerden diye polise serzenişte bulunuyor. polisin cevabı müdahale edemeyiz, valiliğe şikayetinizi bildirin.",nefret,1
144,masterchefe önümüzdeki sezon suriyeli taklidi yaparak girme fikri...,hiçbiri,0
145,bu gidişle sanırım suriyeli biriyle evlenicem,hiçbiri,0
146,suriyeli'ler ve damatlarda var tabi.,hiçbiri,0
147,"asıl tehlike suri̇yeli̇ değil afganlardir suri̇yeli̇ler patır patır si̇ki̇şi̇yor valla gördüğünüz üzere etraf suriyeli bebe kaynıyor.. peki ya afganlar??? ya sikişmiyorlar , ya da bi̇rbi̇rleri̇ni̇ götten si̇ki̇yorlar!!! gay sekse hayir!!!",nefret,1
148,mübadele göçmenlerini suriyeli mülteciler ile kıyaslandığından beridir yusuf kaplan görünce tüylerim diken diken oluyor... tam bir sörfçü rüzgarı hep arkadan esiyor . tuerkiyeninnabzi,hiçbiri,0
149,eyyyy akp seçmeni ! buyurun suriyeli kardeşleriniz... sizinkiler (akp + rte) verdikçe onlar daha çok istiyor ! siz verdikçe onlar daha fazlasını istemeye devam edecek !,nefret,1
150,ülkeyi yönetenler arap çocuğu için sümukleri ile ağlar ama ülkemizde ki çocuk istismarına tecavüzüne sessiz kalır çünkü bu pisliği yapanları  icisleri koruyor besliyor çoğu suriyeli ahlakı olup istifa eden yok,nefret,1
151,"şanlıurfa barosu açıkladı •20 ayda bin 216 çocuk cinsel istismara maruz kaldı •i̇stismarcısıyla evlenmeye zorlanan kız çocukları intihara sürükleniyor •suriyeli çocuklar, istismarcıya para karşılığı ikinci eş olarak veriliyor",hiçbiri,0
152,"ulan bizim türkler suriyelilerin durumuna düşse , bu suriyeli kalleşler bizi sınırda çoluk cocuk demeden tarar.. ",nefret,1
153,öğrencilerimizi kitap okumaya teşvik etmek ve bu konuda farkındalık oluşturmak için okulumuzun ana giriş kapısı duvarını kitaplık resimleri ile donattık. emeği geçen suriyeli resim öğretmenimize velilerimiz ve öğrencilerimiz adına teşekkür ediyoruz.,hiçbiri,0
154,nasıl da unuttuk amk suriyeli bıyıklısını,nefret,1
155,bu suriyeli karıların götü neden büyük acaba vay amk,nefret,1
156,suriyeli öğrencilerimin türkçe sesli mesaj yollayıp doğum günümü kutlamaları beni bir miktar duygulandırdı.,hiçbiri,0
157,haklısınız sayın vekil akp ye fazla güvendik sayın cumhur da demişti suriyeli benim vatandaşımdan daha değerli diye emlakkonut yönetimi hâlâ suçunu kabul etmiyo,hiçbiri,0
158,bugün öğrendim suriyeli mahallesiymiş. arapça öğrenecez mecburr :d,hiçbiri,0
159,bugün türk kadınıyla(övünün) suriyeli muhacir çocuğun sohbetine şahit oldum. türk kadını: sizinkikerle bizimkilerden evlenenler çok oldu. suriyeli muhacir: teyze sen ayrım yapıyorsun siz biz yok. müslüman devleti̇ var.... böylebiline,hiçbiri,0
160,al bak niye gidiyorlar. her gün biri yalan uyduruyor onlar da inanıyor. bir suriyeli almanya iş aş veriyor diye ne var ne yok satıp gitti.,hiçbiri,0
161,tamam pislik insan olabiliriz anlayışsız bi insan da olabiliriz ama iyi insanız be.. mesela bugün bu suriyeli kardeşime kahve ısmarladığımı bilmeseniz de olur..,hiçbiri,0
162,"“i̇dlip bir insanlık sınavı olacak” sosyal uyum uzmanı ersin tek’le suriyeli göçmenlerin yaşadıklarını, göçmenlerle ilgili yaklaşımları ve suriye’de yaşanan gelişmeleri konuştuk.",hiçbiri,0
163,tatava cengiz yazıp aklınca tiye alan suriyeli de net o.cocugudur. hırsızlık yapanın anasını avradını.........!! gerçi siz keyif alırsınız ensest p.cleri.,nefret,1
164,ankara i̇stanbul uçak bileti 300 tl ( yeni havalimanından). uçaktayım. uçağın yarısı suriyeli. hani savaştı hani fakirlikti hani . lan ben firma karşılamasa belki uçağa binemeyecem adamlar 5 kişi uçağa binmiş ya. hani bunlara yazıktı. adamlar keyif sürüyor. hey yavrum hey,nefret,1
165,"4-11eylül 1919 sıvaskongresi ülkemizin bütünlüğü için atılmış bir adımdı. ülkemizi 4,5 milyon suriyeli arap işgal etti, a.b. geri gönderemezsiniz diyor, yeni işgalciler gelecek. chp kürt etnikitesinin alt yapısını hazırlıyor. bugün 4eylül 2019, sıvaskongresi'nin 100.yılı",nefret,1
